#Organism group,Host,Source type,Create date,Location,Food origin,Collection date,
Listeria monocytogenes,bovine,animal,2014-07-09T15:05:34Z,USA,Germany,1985,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:12Z,USA,USA:NY,2000,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:13Z,USA,USA:SD,2017,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:13Z,USA,USA:SD,2017,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:14Z,USA,USA:NY,1992,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:15Z,USA,USA:SD,2017,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:15Z,USA,USA:NY,1992,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:15Z,USA,USA:NY,1992,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:16Z,USA,USA:NY,1994,
Listeria monocytogenes,bovine,animal,2017-10-04T23:13:20Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:13:27Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:13:31Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:15:08Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:15:16Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:15:21Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:15:25Z,Italy,Italy,2010,
Listeria monocytogenes,bovine,animal,2017-10-04T23:15:29Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:16:04Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:16:08Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:16:12Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-04T23:21:04Z,Italy,Italy,2011,
Listeria monocytogenes,bovine,animal,2017-10-05T05:00:09Z,Italy,Italy,2010,
Listeria monocytogenes,bovine,animal,2017-10-05T05:00:51Z,Italy,Italy,2013,
Listeria monocytogenes,bovine,animal,2017-10-06T11:50:50Z,Italy,Italy,2011,
Listeria monocytogenes,Bos taurus,animal,2018-08-13T23:44:26Z,USA,USA:MN,2018,
Listeria monocytogenes,Bos taurus,environmental,2018-08-13T23:44:27Z,USA,USA:NY,2002,
Listeria monocytogenes,Bos taurus,animal,2019-01-29T19:57:58Z,USA,USA:ND,2018,
Listeria monocytogenes,Bos taurus,animal,2018-08-13T23:44:28Z,USA,USA:NY,1989,
Listeria monocytogenes,Bos taurus,animal,2018-08-13T23:44:29Z,USA,USA:OH,1993,
Listeria monocytogenes,Bos taurus,animal,2018-08-13T23:44:33Z,USA,USA:NY,1997,
Listeria monocytogenes,Bos taurus,animal,2018-08-13T23:44:33Z,USA,USA:NY,2003,
Listeria monocytogenes,bovine,animal,2018-10-02T19:39:08Z,Not Provided,Not Provided,,
Listeria monocytogenes,cattle,,2018-11-13T14:51:07Z,Switzerland,,1/1/2007,
Listeria monocytogenes,Bos taurus,animal,2019-01-11T21:53:59Z,USA,USA:NY,1993-06,
Listeria monocytogenes,Bos taurus,animal,2019-01-11T21:54:00Z,USA,USA:NY,1991-02,
Listeria monocytogenes,Bos taurus,animal,2019-01-11T21:54:01Z,USA,USA:NY,2000-04,
Listeria monocytogenes,Bos taurus,animal,2019-01-29T18:01:49Z,USA,USA:ND,2018,
Listeria monocytogenes,Bos taurus,animal,2019-01-29T19:57:48Z,USA,USA:ND,2018,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:03Z,USA:NJ,,2016-03,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:04Z,USA:VT,,2017-05,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:04Z,USA:NY,,2017-11,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:04Z,USA:NY,,2018-07,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:05Z,USA:VT,,2015-12,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:05Z,USA:VT,,2015-12,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:05Z,USA:NY,,2017-02,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:06Z,USA:NY,,2016-12,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:06Z,USA:NY,,2019-01,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:06Z,USA:VT,,2018-03,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:07Z,USA:NY,,2016-04,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:07Z,USA:NY,,2017-03,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:07Z,USA:NY,,2018-02,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:07Z,USA:NY,,2018-05,
Listeria monocytogenes,Bos taurus,animal,2019-03-11T22:53:08Z,USA:NY,,2016-01,
Listeria monocytogenes,Bos taurus,animal,2019-03-18T14:57:45Z,USA:NY,,2016-04,
Listeria monocytogenes,cow,,2019-06-28T16:32:06Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:06Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:06Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:06Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:06Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:07Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:07Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:07Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:07Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:07Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:07Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:07Z,Italy,,8/31/2011,
Listeria monocytogenes,cow,,2019-06-28T16:32:08Z,Italy,,8/31/2011,
Listeria monocytogenes,Bos taurus,animal,2019-07-25T12:32:03Z,USA:OH,,3/13/2019,
Listeria monocytogenes,Bos taurus,animal,2019-07-25T13:33:17Z,USA:OH,,6/25/2019,
Listeria monocytogenes,Bos taurus,animal,2019-08-02T22:30:42Z,USA:OH,,2018,
Listeria monocytogenes,Bos taurus,animal,2019-08-02T22:30:42Z,USA:OH,,6/19/2018,
Listeria monocytogenes,Bos taurus,animal,2019-08-02T22:30:42Z,USA:OH,,2018,
Listeria monocytogenes,Bos taurus,animal,2019-08-02T22:30:42Z,USA:OH,,4/6/2018,
Listeria monocytogenes,Bos taurus,animal,2019-08-20T21:57:56Z,USA:OH,,4/7/2015,
Listeria monocytogenes,Bos taurus,animal,2019-08-20T21:58:00Z,USA:OH,,3/9/2017,
Listeria monocytogenes,Bos taurus,animal,2019-08-20T21:58:00Z,USA:OH,,4/14/2015,
Listeria monocytogenes,Bos taurus,animal,2019-08-20T21:58:03Z,USA:OH,,6/2/2015,
Listeria monocytogenes,Bos taurus,animal,2019-08-20T21:58:07Z,USA:OH,,7/29/2015,
Listeria monocytogenes,Bos taurus,animal,2019-08-20T21:58:10Z,USA:OH,,3/11/2016,
Listeria monocytogenes,Bos taurus,animal,2019-08-20T21:58:10Z,USA:OH,,3/24/2016,
Listeria monocytogenes,Bos taurus,animal,2019-08-30T01:50:27Z,USA:OH,,6/28/2017,
Listeria monocytogenes,Bos taurus,animal,2019-08-30T01:50:28Z,USA:OH,,12/12/2016,
Listeria monocytogenes,cattle,,2019-10-03T14:43:18Z,USA:Nebraska,,,
Listeria monocytogenes,cattle,,2019-10-03T14:43:26Z,USA:Nebraska,,,
Listeria monocytogenes,cattle,,2019-10-03T14:43:27Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-03T14:43:27Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-03T14:43:34Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:09:28Z,USA:Nebraska,,,
Listeria monocytogenes,cattle,,2019-10-26T03:09:34Z,USA:Nebraska,,,
Listeria monocytogenes,cattle,,2019-10-26T03:09:53Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:10:08Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:10:09Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:10:32Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:10:36Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:10:39Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:10:55Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:10:59Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:11:26Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:11:46Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:11:51Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:11:52Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:11:56Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:12:29Z,USA:Nebraska,,2014,
Listeria monocytogenes,cattle,,2019-10-26T03:12:34Z,USA:Nebraska,,2014,
Listeria monocytogenes,Bos taurus,,2019-12-13T16:42:30Z,United Kingdom,,11/1/1992,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:30Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:30Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:31Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:31Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:31Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:31Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:32Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:32Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:32Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:33Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:33Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:33Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:33Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:34Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:34Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:34Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:35Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:35Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:35Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:35Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:36Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:36Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:36Z,not collected,,,
Listeria monocytogenes,Bovine,environmental,2019-12-13T16:42:37Z,not collected,,,
Listeria monocytogenes,Bos taurus,,2019-12-13T16:42:43Z,Slovenia,,2013,
Listeria monocytogenes,Bos taurus,animal,2020-06-30T22:13:49Z,USA,USA:ND,2020,
Listeria monocytogenes,Bos taurus,animal,2020-06-30T22:13:49Z,USA,USA:ND,2020,
Listeria monocytogenes,Bos taurus,animal,2020-06-30T22:13:50Z,USA,USA:ND,2020,
Listeria monocytogenes,Bos taurus,animal,2020-06-30T22:13:51Z,USA,USA:ND,2020,
Listeria monocytogenes,Bos taurus,animal,2020-06-30T22:13:51Z,USA,USA:ND,2020,
Listeria monocytogenes,Bos taurus,animal,2020-06-30T23:14:49Z,USA,USA:ND,2020,
Listeria monocytogenes,cow,,2020-07-02T03:06:13Z,Finland:Helsinki,,1987,
Listeria monocytogenes,cow,,2020-07-02T03:12:34Z,Finland:Helsinki,,1984,
Listeria monocytogenes,cow,,2020-07-02T03:29:12Z,Finland:Helsinki,,1994,
Listeria monocytogenes,cow,,2020-07-02T03:37:11Z,Finland:Helsinki,,1989,
Listeria monocytogenes,cow,,2020-07-02T03:37:18Z,Finland:Helsinki,,1975,
Listeria monocytogenes,cow,,2020-07-02T03:42:16Z,Finland:Helsinki,,1999,
Listeria monocytogenes,cow,,2020-07-02T03:44:06Z,Finland:Helsinki,,1987,
Listeria monocytogenes,cow,,2020-07-02T03:44:27Z,Finland:Helsinki,,1987,
Listeria monocytogenes,bovine,animal,2020-07-07T17:16:50Z,USA:NY,,2001-07,
Listeria monocytogenes,bovine,animal,2020-07-07T17:16:50Z,USA:NY,,2001-07,
Listeria monocytogenes,bovine,animal,2020-07-07T17:16:50Z,USA:NY,,2001-07,
Listeria monocytogenes,bovine,animal,2020-07-07T17:16:52Z,USA:NY,,2001-07,
Listeria monocytogenes,bovine,animal,2020-07-07T17:16:56Z,USA:NY,,2001-07,
Listeria monocytogenes,bovine,animal,2020-07-07T17:16:57Z,USA:NY,,2001-07,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:48Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:49Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:49Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:50Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:50Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:50Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:50Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:51Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:52Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:52Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,,2020-07-09T21:15:52Z,Slovenia,,2014,
Listeria monocytogenes,Bos taurus,animal,2020-08-27T00:27:52Z,USA:NY,,2003,
Listeria monocytogenes,Bos taurus,animal,2020-08-27T00:27:53Z,USA:NY,,2003,
Listeria monocytogenes,Bos taurus,animal,2020-08-27T00:27:53Z,USA:NY,,2003,
Listeria monocytogenes,Bos taurus,animal,2020-08-27T00:27:54Z,USA:NY,,2003,
Listeria monocytogenes,Bos taurus,animal,2020-08-27T00:27:54Z,USA:NY,,2003,
Listeria monocytogenes,Bos taurus,animal,2020-08-27T00:27:55Z,USA:NY,,2003,
Listeria monocytogenes,Bos taurus,animal,2020-08-27T00:27:57Z,USA:NY,,2003-04,
Listeria monocytogenes,bovine,animal,2020-10-19T17:21:29Z,USA:NY,,2002-03,
Listeria monocytogenes,bovine,animal,2020-10-19T17:21:29Z,USA:NY,,2002-03,
Listeria monocytogenes,bovine,animal,2020-11-13T17:20:41Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2020-11-13T17:20:44Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2020-11-13T17:20:44Z,USA:NY,,2002-04,
Listeria monocytogenes,bovine,animal,2020-11-13T17:20:44Z,USA:NY,,2002-04,
Listeria monocytogenes,bovine,animal,2020-11-14T18:24:52Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2020-11-25T18:27:48Z,USA:NY,,2002-04,
Listeria monocytogenes,Bos taurus taurus,,2021-02-01T12:56:04Z,South Korea: Gimcheon,,4/26/2018,
Listeria monocytogenes,bovine,animal,2021-02-03T15:24:41Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2021-02-03T15:24:41Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2021-02-03T15:24:41Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2021-02-03T15:24:43Z,USA:NY,,2002-06,
Listeria monocytogenes,bovine,animal,2021-02-03T15:24:44Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2021-02-03T15:24:45Z,USA:NY,,2002-06,
Listeria monocytogenes,bovine,animal,2021-02-03T15:24:46Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2021-02-03T15:24:47Z,USA:NY,,2002-05,
Listeria monocytogenes,bovine,animal,2021-02-03T16:24:00Z,USA:NY,,2002-07,
Listeria monocytogenes,bovine,animal,2021-02-03T16:24:04Z,USA:NY,,2002-07,
Listeria monocytogenes,Bos taurus,animal,2021-02-09T00:32:42Z,USA,USA:NC,2017,
Listeria monocytogenes,bovine,animal,2021-02-09T16:29:11Z,USA:NY,,2002,
Listeria monocytogenes,bovine,animal,2021-02-11T17:22:31Z,USA:WI,,1/20/2019,
Listeria monocytogenes,bovine,animal,2021-02-11T17:22:32Z,USA:WI,,4/1/2019,
Listeria monocytogenes,bovine,animal,2021-02-11T17:22:32Z,USA:WI,,4/1/2019,
Listeria monocytogenes,bovine,animal,2021-02-11T17:22:33Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-11T17:22:33Z,USA:WI,,1/20/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:00Z,USA:WI,,3/25/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:01Z,USA:WI,,3/26/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:01Z,USA:WI,,3/31/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:01Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:01Z,USA:WI,,3/31/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:02Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:02Z,USA:WI,,4/1/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:02Z,USA:WI,,4/3/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:03Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:03Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T18:25:03Z,USA:WI,,3/31/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:51Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:51Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:51Z,USA:WI,,4/1/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:52Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:52Z,USA:WI,,3/7/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:52Z,USA:WI,,3/31/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:52Z,USA:WI,,4/4/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:53Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:53Z,USA:WI,,3/29/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:53Z,USA:WI,,3/26/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:54Z,USA:WI,,4/3/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:54Z,USA:WI,,3/31/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:55Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:55Z,USA:WI,,3/25/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:55Z,USA:WI,,3/25/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:55Z,USA:WI,,4/1/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:56Z,USA:WI,,3/31/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:56Z,USA:WI,,3/26/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:56Z,USA:WI,,4/4/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:56Z,USA:WI,,4/1/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:56Z,USA:WI,,3/29/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:57Z,USA:WI,,4/4/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:57Z,USA:WI,,3/21/2019,
Listeria monocytogenes,bovine,animal,2021-02-17T19:23:57Z,USA:WI,,3/28/2019,
Listeria monocytogenes,cow,,2021-06-20T11:53:07Z,"USA: Lexington, KY",,7/8/2014,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:02:09Z,Finland,,2014-08,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:17:09Z,Finland,,2015-05,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:17:33Z,Finland,,2014-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:17:40Z,Finland,,2014-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:17:47Z,Finland,,2014-09,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:17:55Z,Finland,,2014-03,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:18:02Z,Finland,,2015-08,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:18:09Z,Finland,,2015-09,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:18:26Z,Finland,,2015-01,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:18:34Z,Finland,,2014-09,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:19:10Z,Finland,,2014-06,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:19:35Z,Finland,,2015-05,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:19:43Z,Finland,,2015-05,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:19:44Z,Finland,,2015-03,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:19:59Z,Finland,,2014-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:20:25Z,Finland,,2014-09,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:21:16Z,Finland,,2013-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:24:39Z,Finland,,2014-10,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:26:16Z,Finland,,2015-06,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:26:31Z,Finland,,2015-07,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:28:49Z,Finland,,2015-03,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:30:05Z,Finland,,2014-09,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:32:38Z,Finland,,2014-05,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:33:08Z,Finland,,2015-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:33:19Z,Finland,,2015-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:33:34Z,Finland,,2014-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:33:41Z,Finland,,2014-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:35:24Z,Finland,,2014-09,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:36:21Z,Finland,,2014-06,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:36:29Z,Finland,,2014-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:36:32Z,Finland,,2015-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:36:44Z,Finland,,2015-09,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:36:57Z,Finland,,2015-06,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:37:16Z,Finland,,2015-03,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:38:24Z,Finland,,2014-03,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:38:33Z,Finland,,2014-06,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:39:05Z,Finland,,2014-02,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:39:09Z,Finland,,2014-01,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:39:20Z,Finland,,2014-01,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:39:25Z,Finland,,2014-01,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:39:36Z,Finland,,2014-01,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:39:43Z,Finland,,2013-12,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:40:09Z,Finland,,2013-12,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:40:24Z,Finland,,2013-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:40:33Z,Finland,,2013-12,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:40:41Z,Finland,,2013-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:40:56Z,Finland,,2013-11,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:41:27Z,Finland,,2015-10,
Listeria monocytogenes,Bos taurus,,2021-06-30T16:41:41Z,Finland,,2014-09,
